Time resolution is 1 ps
DDS TB start, clk frequency: 200.00 MHz. 
[100000 ns] Reset deasserted. 
[200000 ns] test 1: setting freq_word to 21474836 (target 1mhz, actual 1.000 mhz). 
[200000 ns] DDS enabled. 
[233000 ns] sample #5: 4011(0xfab). 
[258000 ns] sample #10: 9126(0x23a6). 
[283000 ns] sample #15: 13828(0x3604). 
[308000 ns] sample #20: 18371(0x47c3). 
[333000 ns] sample #25: 22301(0x571d). 
[358000 ns] sample #30: 25832(0x64e8). 
[383000 ns] sample #35: 28706(0x7022). 
[408000 ns] sample #40: 30783(0x783f). 
[433000 ns] sample #45: 32176(0x7db0). 
[458000 ns] sample #50: 32745(0x7fe9). 
[483000 ns] sample #55: 32521(0x7f09). 
[508000 ns] sample #60: 31470(0x7aee). 
[533000 ns] sample #65: 29706(0x740a). 
[558000 ns] sample #70: 27133(0x69fd). 
[583000 ns] sample #75: 24007(0x5dc7). 
[608000 ns] sample #80: 20159(0x4ebf). 
[633000 ns] sample #85: 15800(0x3db8). 
[658000 ns] sample #90: 11228(0x2bdc). 
[683000 ns] sample #95: 6195(0x1833). 
[708000 ns] sample #100: 1206(0x4b6). 
[733000 ns] sample #105: -4011(0xf055). 
[758000 ns] sample #110: -9126(0xdc5a). 
[783000 ns] sample #115: -13828(0xc9fc). 
[808000 ns] sample #120: -18371(0xb83d). 
[833000 ns] sample #125: -22301(0xa8e3). 
[858000 ns] sample #130: -25832(0x9b18). 
[883000 ns] sample #135: -28706(0x8fde). 
[908000 ns] sample #140: -30783(0x87c1). 
[933000 ns] sample #145: -32176(0x8250). 
[958000 ns] sample #150: -32745(0x8017). 
[983000 ns] sample #155: -32521(0x80f7). 
[1008000 ns] sample #160: -31470(0x8512). 
[1033000 ns] sample #165: -29706(0x8bf6). 
[1058000 ns] sample #170: -27133(0x9603). 
[1083000 ns] sample #175: -24007(0xa239). 
[1108000 ns] sample #180: -20159(0xb141). 
[1133000 ns] sample #185: -15800(0xc248). 
[1158000 ns] sample #190: -11228(0xd424). 
[1183000 ns] sample #195: -6195(0xe7cd). 
[1208000 ns] sample #200: -1206(0xfb4a). 
[1233000 ns] sample #205: 4011(0xfab). 
[1258000 ns] sample #210: 9126(0x23a6). 
[1283000 ns] sample #215: 13828(0x3604). 
[1308000 ns] sample #220: 18371(0x47c3). 
[1333000 ns] sample #225: 22301(0x571d). 
[1358000 ns] sample #230: 25832(0x64e8). 
[1383000 ns] sample #235: 28706(0x7022). 
[1408000 ns] sample #240: 30783(0x783f). 
